Card Name,Card Category,Card Type,"LearningCategory",Ranking Factor,Conversion Rate,Content Score,Spam Score,Special Effect,Card Quantity,Card Description
Denial of Service Attack,Tactic Card,Attack,Content Creation,-2,-1,0,1,,2,Generate large amount of traffic to reduce page loading speed of competitor's site
Spammy Link Attack,Tactic Card,Attack,Link Building,-2,-1,-1,1,,3,Buy low quality backlinks to competitors site to make their backlink profile spammy
Pogo Sticking Attack,Tactic Card,Attack,Other,-1,0,-1,2,,2,"Searcher click on competitor's website, quickly go back to search engine and click another result"
Click-through  Rate Attack,Tactic Card,Attack,Other,-3,0,0,1,,2,Write program to search for competitor's page but not clicking on it
Negative Review Attack,Tactic Card,Attack,Other,0,-1,-2,2,,2,Write negative review and stories of the competitor
Website Defacement Attack,Tactic Card,Attack,Other,-1,-2,-2,0,,3,Hack and change the content of the competitor's website
Loss of Backlinks,Event Card,Bad Luck,Other,-3,0,0,0,,1,External websites have removed link to your site!
Lose of Admission,Event Card,Bad Luck,Other,0,-2,0,0,Admission point -2,3,Students have withdrawn their applications!
Outdated Content,Event Card,Bad Luck,Other,-2,-2,-3,0,,1,Your website's content is becoming outdated!
Backlinks From Government,Event Card,Lucky,Other,5,2,5,0,,1,You have earned high quality backlinks from Government!
Hot Topic Research,Event Card,Lucky,Other,4,2,4,0,,1,University's research become hot topic and generates a large number of page-views/backlinks to your site
Social Media Engagement,Event Card,Lucky,Other,5,2,2,0,,1,Your social media post have generated many Likes and comments!
Tuition Fee Discount,Event Card,Lucky,Other,0,2,0,0,,1,Offer 10% discount for 1st semester tuition fee
Nothing Happen,Event Card,Lucky,Other,0,0,0,0,,64,No event in this turn
Thin Content,Event Card,Mistake,Content Creation,0,0,0,2,,1,Pages with thin and little original content will be devalued by search engines
Invisible Text,Event Card,Mistake,Content Creation,0,0,-1,1,,1,Text and background with same color to cheat search engines  for ranking those keywords
Spelling Mistakes,Event Card,Mistake,Content Creation,0,0,-1,1,,1,Spelling mistakes is a signal that the website is of low quality
Article Spinning,Event Card,Mistake,Content Creation,-1,0,-1,0,,1,"Copying others' content, rephrases them and use in your website"
Self-Promotional Content,Event Card,Mistake,Content Creation,0,-1,-1,1,,1,Too much selling and self-promotional content  drives visitors away
Duplicate Content,Event Card,Mistake,Content Creation,-1,0,-2,0,,1,Search engine cannot easily rank the pages with duplicated content in your site
Poorly Written Content,Event Card,Mistake,Content Creation,0,0,-4,0,,1,Poorly written content with grammar mistakes  gives a bad impression on the visitors
Too Much Advertisement,Event Card,Mistake,Landing Page Optimization,0,-1,0,0,,1,Displaying too much advertisement will drive visitors away
Text Overload,Event Card,Mistake,Landing Page Optimization,0,-1,0,0,,1,Long paragraphs with too much text will drive visitors away
Generic  Images,Event Card,Mistake,Landing Page Optimization,0,-1,0,0,,1,Generic or unrelated images cause confusion to visitors and show your lack of professionalism.
Complex Navigation,Event Card,Mistake,Landing Page Optimization,0,-1,-1,0,,1,Complex website navigation drives visitors away
Distracting Visuals,Event Card,Mistake,Landing Page Optimization,0,-2,-2,0,,1,Distracting visuals and flashing banners diverts reader's attention
Automated Generated Links,Event Card,Mistake,Link Building,0,0,0,3,,1,Using automatic programs to post links in forums and wiki will be penalized by search engines
100% Do-FollowæLinks,Event Card,Mistake,Link Building,0,0,0,2,,1, A natural backlink profile should have mix of do-follow and no-follow links
Backlinks In Short Time,Event Card,Mistake,Link Building,0,0,0,1,,1,Acquiring too many backlinks in a short period is unnatural behaviour
Low Link Diversity,Event Card,Mistake,Link Building,0,0,0,1,,1,Too many links from the same domain makes the backlink profile unnatural
Link Farm,Event Card,Mistake,Link Building,-2,0,0,3,,1,Unrelated websites linking to each others to cheat  search engine for better ranking
Link Exchange,Event Card,Mistake,Link Building,-2,0,0,2,,1,Excessive exchange of links between unrelated sites to cheat search engine for better ranking
Low Quality Backlink,Event Card,Mistake,Link Building,-1,0,-1,1,,1,Search engine devalues websites with backlinks from low quality and spammy website
Dynamic URL,Event Card,Mistake,On-page Optimization,-1,0,0,0,,1,Web-page generated based on user request do not get indexed as effectively as static URL
Keyword Cannibalization,Event Card,Mistake,On-page Optimization,-1,0,0,0,,1,Multiple pages within a site compete for the same set of keywords
Slow Pages,Event Card,Mistake,On-page Optimization,-1,0,0,0,,1,Slow page loading speed reduces user engagement
Pop-ups  Ads,Event Card,Mistake,On-page Optimization,-1,0,0,0,,1,Pop-ups advertisement is annoying and sign of a low-quality and spammy site.
Excessive Flash,Event Card,Mistake,On-page Optimization,-2,0,0,0,,1,Flash prevents  search engines from understanding the content of your site
Too Much JavaScript,Event Card,Mistake,On-page Optimization,-2,0,0,0,,1,JavaScript makes it difficult for search engines to crawl and index your website
Bad Neighbourhood,Event Card,Mistake,On-page Optimization,-3,0,0,2,,1,Outgoing links to low quality sites make your website looks spammy
Excessive Outbound Links,Event Card,Mistake,On-page Optimization,-3,0,0,0,,1,Too many outbound links is annoyingæto visitors
Broken Links,Event Card,Mistake,On-page Optimization,-1,0,-2,1,,1,Too many broken links indicates  the website is not built well or abandoned
Keyword Stuffing,Event Card,Mistake,On-page Optimization,-1,0,-2,3,,1,Load web-pages with  keywords in an attempt to manipulate search engine ranking
Mini-Game,Tactic Card,Normal,Content Creation,0,0,7,0,,1,Create mini-games for students to play and learn more about campus life
Mini-Movie,Tactic Card,Normal,Content Creation,0,0,6,0,,1,Create mini-movies to engage  visitors
Create Blog Post,Tactic Card,Normal,Content Creation,0,0,6,0,,1,Create blog posts with fresh contents to engage and interact with the visitor
Organize Contest,Tactic Card,Normal,Content Creation,0,0,5,0,,1,Create contest with prizes and giveaways and attract people to link to your sites
Create Landing Page,Tactic Card,Normal,Content Creation,0,0,5,0,,1,Showcase students' exchange opportunities and drive  visitors through long tailed search
Create Landing Page,Tactic Card,Normal,Content Creation,0,0,5,0,,1,Showcase  students' achievement and drive visitors through long tailed search
Create Landing Page,Tactic Card,Normal,Content Creation,0,0,4,0,,1,Showcase university's research achievement  and drive visitors through long tailed search
Create Landing Page,Tactic Card,Normal,Content Creation,0,0,4,0,,1,Showcase outstanding alumni stories and drive visitors through long tailed search
Multimedia,Tactic Card,Normal,Content Creation,0,0,4,0,,1,Multimedia grabs the attention of visitors
Unique Content,Tactic Card,Normal,Content Creation,0,0,3,0,,1,Create unique content  not available elsewhere
Contact Page,Tactic Card,Normal,Content Creation,0,2,3,0,,1,Contact page facilitates visitors to get in touch with the university
